cleaned_rules,category 
"[""This server is intended to be a place for Dartisans like  myself to chat together and explore the fediverse as seen from the Dart community, however a few ground rules have to apply to users, not that I'm expecting any users to break these but please see below."", ",instance restriction
"No privacy violations against other people; doxing, revealing or sexual images of someone else, information about someone's health, or crimes done against them., ","doxxing, sexual content"
"No threats against other people.',",harassment 
" 'No xenophobia, hate speech or incitement to such things.', ",hate speech
"'No incitements to break any of the server rules', ",general
"'No spread of violent images, sexual violence, torture, or forced actions.']","violence, sexual content "
"['Sei immer freundlich und höflich. Behandle andere mit Respekt.', ",general respectfulness
"'Belästige und beleidige niemanden und unterlasse persönliche Angriffe.Weder allein noch als Gruppe. Das Veröffentlichen oder die Androhung von Veröffentlichung von personen-identifizierenden Informationen (""doxing"") wird als Belästigung ausgelegt.', ",doxxing  
"'Kontaktiere keine Nutzer:innen die angegeben haben, dass sie nicht kontaktiert werden möchten.', ",
"'Nochmal ganz deutlich: Wir dulden keine nationalistische Propaganda, keine Nazi-Symbolik und keine Förderung der Ideologie des Nationalsozialismus!', ",propaganda
"'Poste keine pornographischen oder sexualisierten Inhalte. Dazu gehören auch Witze und Kommentare.', ",sexual content 
"'Veröffentliche keinen Spam oder kommerzielle Werbung. Kommerzielle Werbung in diesem Zusammenhang bedeutet, wenn die veröffentlichten Inhalte keinen persönlichen Bezug aufweisen und eindeutig dazu gedacht sind, direkt oder indirekt Geld zu erwirtschaften.\r\n', ",
"'Keine Killerphrasen, Scheinargumente, schwarze Rhetorik oder Sophismus', ",
"'Diskutiere Moderationsentscheidungen nicht zuerst in öffentlichen Toots', ",moderation
"'Die Nutzung oder Befürwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter Sprache wird nicht geduldet\r\n', ",hate speech 
"'Verharmlosende oder gutheißende Inhalte zu Weißer Vorherrschaft, Antisemitismus, Transphobie oder anderen hasserfüllten Ideologien werden nicht geduldet.\r\n', ",
"'Halte dich an die in Deutschland geltenden Gesetze (verbietet u.a. auch gewaltverherrlichende Inhalte).\r\n', ",
"'Nutze Inhaltswarnungen für Posts und NSFW-Marker bei Medien im Falle von kontroversen, aufrührerischen oder triggernden Themen\r\n', ","sexual content, content warning "
'Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht\r\n'],misinformation
"[""Don't be an asshole. ""]",random
"['We are progressive and will not tolerate racism, antisemitism, Islamophobia, casteism, any kind of queerphobia, or hate speech. ",hate speech 
"Free Speech is not a priority of this instance. Don\'t be a sealion or a concern troll.', ",random 
"Be aware of power imbalances and intersectionality, and act accordingly. Don't tone police., ","hate speech, general respectfulness"
"'We use content warnings liberally. Please consider content warning topics that could cause distress to others. You are not expected to use content warnings on your lived experiences of marginalization.', ",content warning
"Don't say anything that will get you or old.mermaid.town in trouble with The Law. We are located in Australia, and our privacy laws are stacked against us. ]","general, illegal"
"[""Don't be a dick"", ",random
"Don't get me in trouble with the law or my network provider, ",random
"Don't embarrass me in front of the other Mastodon admins, ",random
"You're in my house; Don't give me a reason to kick you out, ",random
"'If you cause problems, I will deal with you based on my perception of the severity. ', ",moderation
"'This could be anywhere from [telling you to knock it off] up to [deleting your account and everything associated with it, blocking your IPs at the firewall, and reporting you to your ISP and law enforcement].', ",moderation
"Please don't make me do the latter. Seriously., ",moderation
"'No RSS-feed bots not related to a Clacks user.', ",bots
"'No corporate accounts.', ",??
"No purely advertising accounts (advertising your own things, provided it's not _all_ you do, is fine)., ",ads
"'No parody accounts', ",identity theft/ identiy gimick 
"'All explicit sexual or violent content should be behind a CW', ","sexual content, content warning "
"'No racism or advocation of racism', ",hate speech
"'No sexism or advocation of sexism', ",hate speech
"'No discrimination against gender and sexual minorities, or advocation thereof', ",hate speech
'No xenophobic and/or violent nationalism'],hate speech
"['No sexually explicit images or video', ",sexual content
"'No incitement of violence or promotion of violent ideologies', ",violence  
"'No false or misleading information', ",misinformation
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",hate speech
"'No harassment, dogpiling or doxxing of other users', ","harassment, doxxing"
"'No illegal content', ",illegal
"'No commercial promotion of NFTs or crypto.', ",crypto 
"'Please use Content Warnings (CW) on any content that is controversial, ranty, cross-posts from The Other Site, or non-content updates.', ",content warning
Follow Wheaton's First Rule:\r\nDon't be a dick.],random
"['No racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",hate speech
"'No incitement of violence or promotion of violent ideologies', ",violence
"'No harassment, dogpiling or doxxing of other users', ","harassment, doxxing"
"'Only post your own media, state original creator / owner if not yours', ",copyright
"'Do not share intentionally false or misleading information', ",misinformation
"No content that's illegal in Germany, ",illegal
"'Sexually implicit or violent media must be marked as sensitive when posting; Pornography is not permitted', ","sexual content, content warning "
"'Be legally adult  (18 years old in most countries)', ",age restriction
"'Bots must be marked as bot and its username has to tell: ""_bot""']",bots
"['No fascism, authoritarianism, racism, sexism, homophobia, transphobia, xenophobia, or casteism.', ",hate speech
"'Tankies fuck right off into the sun.', ",random
"'Liberals also fuck right off into the sun. This includes DSA members ""progressives"" and equivalent groups in other countries. ', ",random
"'No harassment or doxxing of other users on any instance.', ","harassment, doxxing"
"'No content illegal in Germany or the European Union', ",illegal
"'No NFTs.', ",crypto 
'You will not use social.edist.ro to discuss potentially illegal or illicit activities. '],general
"['Diese Mastodon-Instanz wird als privates Hobby ohne Garantie für Verfügbarkeit betrieben. Es besteht kein Anspruch auf jederzeitigen funktionierenden Zugang zum Konto.', ",
"'Auf dieser Instanz sind alle Nutzenden willkommen, egal welcher politischen, religiösen oder sexuellen Ausrichtung und geschlechtlicher Identität.', ",
"'Wenn ich den Eindruck habe, dass hier jemand beleidigend, diskriminierend oder schlicht nervtötend wird, behalte ich mir das Recht vor, auch ohne Ankündigung Accounts zu sanktionieren oder zu deaktivieren.', ",
"'Ich gehe davon aus, dass alle Nutzende dieser Instanz in der Lage sind, sich selbst gegenüber anderen zur Wehr zu setzen und Querelen unter einander zu klären.', ",
'Es gelten die Nutzungsbedingungen.'],
"['Was Du nicht willst, das man Dir tu’, das füg’ auch keinem andern zu.']",
"['NFSW/Lewd/Adult Content MUST be hidden behind a CW', ","sexual content, content warning "
"'Do not post content owned by someone else without permission', ",copyright
"'No posts promoting excessive or extremist levels of violence', ",violence
"'No distribution of malware or other potentially unwanted software through the service', ",??
"'No hurtful or targeted language to attack a certain group or user', ",hate speech
"'No excessive trolling', ",harassment
"'No misappropriating memes as use as hate symbols, this includes posting memes that are largely considered to be hate symbols', ","harassment, hate speech"
"'No stalking or harassment ', ",harassment
'No intentional attempts to mislead or impersonate a specific user or group'],identity theft/ identiy gimick 
"['Follow the Code of Conduct.', ",general
"'Be patient and kind.', ",general respectfulness
"'Be inclusive.', ",general respectfulness
"'Be considerate.', ",general respectfulness
"'Be respectful.', ",general respectfulness
"'Choose your words carefully.', ",general respectfulness
'Do not harass others.'],harassment
"['No spam or advertising.', ",spam
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', ",hate speech
"'No incitement of violence or promotion of violent ideologies.', ",violence
"'No harassment, dogpiling or doxxing of other users.', ","harassment, doxxing"
'No illegal content.'],illegal
"['No toxic and hateful speech.', ",hate speech
"'No incitement of violence and no promotion of misleading or violent ideologies.', ",violence
"No harassment, dogpiling, or unwanted advances.', ",harassment
"'No doxxing of other users.', ",doxxing  
"No content illegal in Canada or copyrighted content that you don't own rights to., ",illegal
"'Sexually explicit or violent media must be marked appropriately.', ","sexual content, content warning "
"'Sexually explicit or violent media must be marked appropriately.', ","sexual content, content warning "
'Agree to the Terms of Service and Code of Conduct.'],general
"['Don\'t be a dink.\r\n\r\n""Being a dink"" includes but is not limited to: racism, sexism, xenophobia, homophobia, transphobia, any form of harassment or promotion of violence, or the posting of sexually explicit or illegal content.']","hate speech, random"
"['Discrimination & bigotry will not be tolerated\r\nThis is not a safe space for Nazis, TERFS, or hate speech.\r\n', ",hate speech
"'Respect each other. This instance is meant to be a friendly, welcoming space to all who are willing to reciprocate in helping to create that environment.\r\n', ",general respectfulness
"'Consent is key, in any context. If you’re ever unsure, ask first. Use content warnings (CWs) where required.\r\n', ",content warning
"'No pedophilia, period.', ",sexual content
"'Members under the age of 18 are not permitted to post lewd, explicit, nsfw, or otherwise sexual content. This includes as original posts or in reply to other members, as well as boosting content of this type from their accounts.', ",age restriction
"'No direct threats and incitement to violence. Expressing dissatisfaction is fine, but directly stating interest or intent to commit violent harm are not welcome on this server.']",violence
"['This is a lightly moderated space, but should be a safe space for all and any harassment, bullying or discriminatory behaviour can be reported and will result in intervention from mods and/or admins.', ",harassment
"Currently @benbyrne is the only admin and @becfary and @doktorb are the mods, all can be reached by DM, and posts can be reported using the option in the '...' menu., ",general
"'Please DM @benbyrne if interested in volunteering as an admin or mod.', ",general
"'Any accounts that show no activity for 3 months will be automatically suspended - you can contest the suspension if you want to keep using your account, but otherwise it will be deleted a month later. This is just to ensure we avoid unnecessary data storage and phantom accounts. Lurking is welcome.']",moderation
