,formatted_rules,cleaned_rules,lang
13,,,Error
14,,,Error
15,,,Error
77,ﾈｺﾁｬﾝ🐈,ﾈｺﾁｬﾝ,Error
237,,,Error
238,,,Error
239,,,Error
240,,,Error
241,,,Error
362,,,Error
363,,,Error
435,...,,Error
483,,,Error
631,,,Error
632,,,Error
633,,,Error
634,,,Error
635,,,Error
636,,,Error
637,,,Error
638,,,Error
639,,,Error
640,,,Error
661,,,Error
662,,,Error
663,,,Error
664,,,Error
665,,,Error
666,,,Error
667,,,Error
668,,,Error
669,,,Error
701,,,Error
745,,,Error
746,,,Error
904,,,Error
905,,,Error
906,,,Error
907,,,Error
908,,,Error
909,,,Error
994,,,Error
996,,,Error
997,,,Error
998,,,Error
999,,,Error
1000,,,Error
1176,,,Error
1177,,,Error
1178,,,Error
1179,,,Error
1180,,,Error
1181,,,Error
1182,,,Error
1183,,,Error
1184,,,Error
1185,,,Error
1186,,,Error
