Topics," ""<5"""," ""5-15"""," ""15-35"""," ""35-150"""," ""150-500"""," ""500-1500"""," ""1500-5000"""," "">5000"""
Content/Behavior/Format Allowed,2,9,11,9,8,21,7,8
Off-topic/ Random/ topic specific,10,6,9,1,1,1,1,1
Illegal Content,1,8,7,10,13,17,4,13
Incitement of Violence,3,6,6,11,11,9,10,10
Doxxing,2,9,7,9,6,12,12,11
Mis/Disinformation/Conspiracy,2,9,4,12,11,7,11,15
Hate Speech,3,21,13,19,17,27,21,32
NSFW,2,5,5,10,19,11,7,17
Server Interference,0,1,0,0,9,0,0,0
Restrictive? ,0,5,3,11,9,13,4,6
Copyright/Privacy,0,3,0,3,1,4,1,4
Spam,0,4,1,7,7,17,3,14
Consequences/Moderation/Enforcement,0,1,4,6,10,15,7,18
Automated tools,0,1,3,2,2,4,2,7
Advertisements & Commercialization,0,2,1,0,2,1,1,1
Impersonation,0,0,2,2,2,3,1,5
Links & Outside Content,0,0,3,3,4,5,1,5
Human-Identifiable,0,0,0,0,0,0,1,0
Reposting/Cross-posting,0,0,0,0,0,0,2,0
Anti-Brand,0,0,0,0,0,0,1,0
Advertisements & Commercialization,0,0,0,0,0,1,2,1
Politics,0,0,0,2,0,1,0,2
Code of Conduct,0,0,0,1,0,0,0,1
