Policies,Categories,Language
"[""Don't be a dick.""]",random,informal
"['> be Lily', ",random,informal
"'> be so hot that everyone who sees you instantly falls in love', ",random,informal
"'> be so confident that it radiates from you', ",random,informal
"'> be the kind of girl who knows what she wants and takes it', ",random,informal
"'> be the definition of sexy', ",random,informal
'> be Lily Velour'],random,informal
['Only I can use this server :)'],random,informal
"['No content illegal in The United Kingdom', ",illegal,
"'No incitement of violence or promotion of discriminatory or violent ideologies', ",violent,
"'No spam, harrassment, dogpiling or doxxing of other users, including mass spam or mass reporting', ","spam, harassment, doxxing",
"'No intentionally false or misleading information. By extension, do not pose as persons of interest.', ",misinformation,
"'Racism, Sexism, Homophobia, transphobia, xenophobia and and other forms of hate and discrimination are not welcome', ",hate speech,
'Sexually explicit or violent media must be marked as sensitive when posting'],sexual,
['You must be Jon Nemargut to use this Mastodon instance. '],,
,random,informal
"[""Don't get banned.""]",,
,,
"[""Never Underestimate Yourself, or Anyone Else. All Y'ALL.\r\n"", ",random,informal
"'When at all frustrated by anything, take it outside. (and go for a hike).\r\n\r\n', ",random,informal
"'Be Kind.  Kind can be Nice, but is not the same. We are Kind here.']",general respectfulness,informal
,,
"['El contenido sexual explícito o violento no está permitido.', ",violent,
"'No está permitido el racismo, clasismo, sexismo, homofobia, transfobia, xenofobia o cualquier otra actitud de discriminación.', ",hate speech,
'No se permite incitación a la violencia ni promoción de ideologías violentas.'],violent,
,,
"['No harassment, organized or disorganized. That is, one person harassing someone or a group of people harassing someone will be treated the same.', ",hate speech,
"'No doxxing', ",doxxing,
"'No nazis or related propaganda', ",propaganda,
"'Use CW (content warning) setting for NSFW material and mark as sensitive', ",content sensitive,
"'No hate, racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",hate speech,
'No incitement of violence or promotion of violent ideologies'],violent ,
