,instance,desc,rules
0,genomic.social,A Mastodon server for the Genomic Science Community.,"['Be kind to each other.', 'No sexually explicit images or video', 'No incitement of violence or promotion of violent ideologies', 'No intentionally false or misleading information', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No harassment, dogpiling or doxxing of other users. This includes private harassment. ', 'No illegal content', 'No abuse or manipulation of the server instance', 'No spam, malicious links, multiple accounts, username squatting, or similar behaviours', 'Do not post content that breaches copyright, defamation, or libel laws.']"
1,ruhr.social,,"['Sei immer freundlich und höflich. Behandle andere mit Respekt.', 'Belästige und beleidige niemanden und unterlasse persönliche Angriffe. Weder allein noch als Gruppe. Das Veröffentlichen oder die Androhung von Veröffentlichung von personen-identifizierenden Informationen (""doxing"") wird als Belästigung ausgelegt.', 'Kontaktiere keine Nutzer:innen die angegeben haben, dass sie nicht kontaktiert werden möchten.', 'Nochmal ganz deutlich: Wir dulden keine nationalistische Propaganda, keine Nazi-Symbolik und keine Förderung der Ideologie des Nationalsozialismus!', 'Poste keine pornographischen oder sexualisierten Inhalte. Dazu gehören auch Witze und Kommentare.', 'Veröffentliche keinen Spam oder kommerzielle Werbung. Kommerzielle Werbung in diesem Zusammenhang bedeutet, wenn die veröffentlichten Inhalte keinen persönlichen Bezug aufweisen und eindeutig dazu gedacht sind, direkt oder indirekt Geld zu erwirtschaften.', 'Keine Killerphrasen, Scheinargumente, schwarze Rhetorik oder Sophismus', 'Diskutiere Moderationsentscheidungen nicht zuerst in öffentlichen Toots', 'Die Nutzung oder Befürwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter Sprache wird nicht geduldet', 'Verharmlosende oder gutheißende Inhalte zu Weißer Vorherrschaft, Antisemitismus, Transphobie oder anderen hasserfüllten Ideologien werden nicht geduldet.', 'Halte dich an die in Deutschland geltenden Gesetze (verbietet u.a. auch gewaltverherrlichende Inhalte).', 'Nutze Inhaltswarnungen für Posts und NSFW-Marker bei Medien im Falle von kontroversen, aufrührerischen oder triggernden Themen', 'Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht']"
2,mastodontech.de,"mastodontech.de ist eine Mastodon Instanz offen für alle Leute (über 16) und wird betrieben von <a href=""https://markus-blog.de"">Markus'Blog</a>. Es gibt <a href=""https://mastodontech.de/about/more"">Regeln</a>, die Ihr Euch vor der Anmeldung durchlesen solltet, damit Ihr ""gut miteinander umgeht"" :-)

<br>
<a href=""https://github.com/tootsuite/documentation/blob/master/Using-Mastodon/User-guide.md"">Benutzer-Guide</a>
<br>

mastodontech.de is a Mastodon instance open to all people (over 16) and is managed by <a href=""https://markus-blog.de"">Markus'Blog</a>. There are <a href=""https://mastodontech.de/about/more"">rules</a> that you should read before signing up, so that you ""be excellent to each other"" :-)

<br>
<a href=""https://github.com/tootsuite/documentation/blob/master/Using-Mastodon/User-guide.md"">User-Guide</a>
<br>
Wenn Ihr etwas zu dieser Instanz beitragen wollt, dann könnt Ihr dies hier regelmäßig: <a href=""https://liberapay.com/markus-blog.de/donate/"">Spenden</a> oder hier einmalig: <a href=https://www.paypal.com/paypalme/markusblogde>PayPalMe</a> tun.

Oder Ihr bestellt ein Produkt über die folgenden Partnerprogramme:
<br>
<br>
<a href=""https://www.netcup.de/bestellen/gutschein_einloesen.php?gutschein=36nc16494061680&ref=113290"" target=""_blank""><img src=""https://www.netcup.de/static/assets/images/promotion/netcup-setC-468x60.png"" width=""468"" height=""60"" alt=""netcup.de"" /></a>
<br>
<br>
<br>
oder starte Deine Hetzner Cloud mit 20 € Startguthaben über diesen Link:

<a href=""https://hetzner.cloud/?ref=O4DNPT7KH7kS"" rel=""noopener nofollow sponsored noreferrer"" target=""_blank"">Hetzner Cloud</a>

<br>
<br>
<br>
<br>","['kein(e) Belästigung, Stalking, Doxxing', 'keine Verbreitung von Verschwörungstheorien und/oder deren Befürwortung', 'kein Rassismus, Sexismus, Antisemitismus, Beschimpfungen oder deren Befürwortung', 'keine Diskriminierung von Geschlechtern und sexuellen Minderheiten oder deren Befürwortung', 'keine gewalttätige nationalistische Propaganda, Nazi-Symbolismus oder Förderung der Ideologie des Nationalsozialismus', 'Leute kontaktieren, die klar gemacht haben, dass sie keinen Kontakt wollen. Dogpiling', 'keine nicht markierte Werbung', 'keine nicht getaggte oder automatisierte und/oder übermäßige Werbung', 'kein sexueller Inhalt oder Gewaltdarstellungen', 'keine Bots, die ohne ihre expliziten Anfragen mit Nutzer interagieren']"
3,sfba.social,"San Francisco Bay Area - Social Network (general instance)<br>

Fediverse Community - We won't ever sell your data, nor will we show you ads.<br>

Everyone is welcome - Please follow our House Rules!
","['Do not post illegal, illicit, or unlicensed content.', 'Do not use slurs or discriminatory or hateful jokes and language, including (but not limited to) racism, sexism, homophobia, and transphobia; including tone policing or critiquing lived experience.', 'Add content warnings to sensitive content (e.x. nudity, violence)', 'Do not harass anyone, post other people’s personally identifying information (“doxing”), or incite violence against anyone.', 'Do not post in\xa0bad faith,\xa0engage in name-calling, or\xa0ad hominem\xa0attacks. Criticize ideas, not people.', 'Do not post spam (e.x. a post with only a link or an image) or promote crypto-related content such as cryptocurrencies or NFTs.', 'Follow the community code of conduct: https://hub.sfba.social/code-of-conduct  Use content warnings (CW) and #hashtags liberally. Be nice and have fun!']"
4,kolektiva.social,"A collective effort to offer federated social media to anarchist collectives and individuals in the fediverse. Registrations are open. Kolektiva.social is made by anarchists and anti-colonialists, for the social movements and for liberation!","['No racism, misogyny, homo/transphobia, ableism or other oppressive behaviour. ', 'No right wing bullshit and no authoritarian left wing apologetics. ', 'No harassment.', 'No electoral propaganda/campaigning.', 'No misinformation or conspiracy theories.', 'No promotion of capitalism, meritocracy or a commercial enterprise.', 'No spam.', 'No sexualized images without consent.', 'No glorification of nation states or militarism.', 'Propaganda from the USSR, CCP, or DPRK is not allowed.']"
5,mastodon.cloud,Data not available,"['data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string']"
6,mastodon.green,"Plant trees while you use Mastodon<br>
<br>
Mastodon.green is a worldwide and membership based server<br>","['Try 30-days for free, only 1,50 € (+VAT) per month after. No algorithms or ads to waste your time. We use 20 % of membership fees to plant trees. Change your plan or cancel at any time', 'Please abide by the community standards', 'You can use any official EU language, Icelandic and Norwegian on this server', 'No sexually explicit images or video', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment, dogpiling or doxxing of other users', 'No false or misleading information']"
7,mastodon.social,,"['Sexually explicit or violent media must be marked as sensitive when posting', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment, dogpiling or doxxing of other users', 'Do not share intentionally false or misleading information']"
